CVE_ID,Patch_commit,cve_func,oss_name,need_Oldest_version,need_Latest_version,patch_version
CVE-2017-13028,29e5470e6ab84badbc31f4532bb7554a796d9d52,bootp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_bacp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_ccp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_ipcp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_lcp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,cisco_autorp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pim_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv1_join_prune_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv1_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv2_addr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv2_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13031,2d669862df7cd17f539129049f6fb70d17174125,frag6_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_attr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_attrmap_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_n_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_t_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev2_t_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_capable_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_dss_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_join_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13049,aa0858100096a3490edf93034a80e66a4d61aad5,ubik_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13050,83c64fce3a5226b080e535f5131a8a318f30e79b,rpki_rtr_pdu_print,tcpdump,tcpdump:4.2.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13050,83c64fce3a5226b080e535f5131a8a318f30e79b,rpki_rtr_print,tcpdump,tcpdump:4.2.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13051,289c672020280529fd382f3502efab7100d638ec,rsvp_obj_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13052,5d340a5ca6e420a70297cdbdf777333f18bfdab7,cfm_network_addr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13052,5d340a5ca6e420a70297cdbdf777333f18bfdab7,cfm_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13687,a1eefe986065846b6c69dbc09afd9fa1a02c4a3d,chdlc_if_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13687,a1eefe986065846b6c69dbc09afd9fa1a02c4a3d,chdlc_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13689,061e7371a944588f231cb1b66d6fb070b646e376,ikev1_id_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_ID_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_auth_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_ke_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-7857,7bbb91fbf47fc0775cc9705673caf0c47a81f94b,sfnt_init_face,freetype,freetype:2.1.9,freetype:2.7.1,freetype:2.8
CVE-2017-7858,779309744222a736eba0f1731e8162fce6288d4e,sfnt_init_face,freetype,freetype:2.1.9,freetype:2.7.1,freetype:2.8
CVE-2017-8287,3774fc08b502c3e685afca098b6e8a195aded6a0,t1_builder_close_contour,freetype,freetype:2.1.3,freetype:2.7.1,freetype:2.8
CVE-2018-0732,"3984ef0b72831da8b3ece4745cac4f8575b19098
ea7abeeabf92b7aca160bdd0208636d4da69f4f4",generate_key,openssl,openssl:1.0.2,openssl:1.0.2o,openssl:1.0.2p
CVE-2018-0732,"3984ef0b72831da8b3ece4745cac4f8575b19098
ea7abeeabf92b7aca160bdd0208636d4da69f4f4",generate_key,openssl,openssl:1.1.0,openssl:1.1.0h,openssl:1.1.0i
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",cms_RecipientInfo_ktri_decrypt,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",CMS_decrypt,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",PKCS7_dataDecode,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
